StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600000.SH,浦发银行,-3.1636863823934,0.15612617352394,3613697879.0,503102814.0,0.08,0.39867109634552,28061592.9,0.02318752,51929000000.0,,7.0998958333333,-0.060635305555278,100.16437302184,191178000000.0,14.990741395272,0.37396491557684,0.63660479775493,,,-3.7254140453631,1.7691705087533,-10.432569974555,25.559417794511,7.0998958333333,0.35668915694832,3.8986340387254,-0.42726010956155,83.919614222809,45.0,-69135906.491969,6.0,1.0,3.0,0.0,-5.6818181818182
600009.SH,上海机场,2.4104927330734,1.2081870669401,13466726016.0,228545397.0,2.65,0.54292280654319,14091571.68,0.02950319,-2743280805.3,,59.309166666667,0.89208581471806,,1778752199.52,41.125852908409,0.88891499479363,0.85529856917304,-3.9269201929192,-3557648862.26,-0.59681660451993,-1.1023915515075,21.208307111391,26.218780531129,59.309166666667,3.5416898696228,-84.038341626764,,136.1419600822,52.0,114780192.2438,8.0,1.0,3.0,0.0,-7.6150917272413
600010.SH,包钢股份,-8.4577114427861,1.1336027431974,9505689184.0,4818064373.0,0.03,0.28163265306123,561748100.43,0.53557066,-1657490043.66,286153820.6,1.9059375,-0.062258317905266,,80392219189.62,61.960746850172,1.0551426083153,0.98359746144177,-0.44791639783591,3719011431.64,0.050918012483026,-0.036360400495023,-2.6455026455026,26.269364084607,1.9059375,1.5609091431752,29.26145894517,0.048278681984682,112.27217592488,38.0,4671231042.6361,4.0,0.0,4.0,0.0,-4.3478260869565
600011.SH,华能国际,-7.2127139364303,1.8040930657616,14061612840.0,1657860287.0,0.23,0.36628733997155,108780826.63,0.5177656,-15253599173.0,1696075032.0,7.9880208333333,-0.062047980108236,,243239098471.0,61.266502860996,1.7961406452197,1.039985143944,-2.4394614932669,-7460523983.0,0.14600222814231,-0.97168482975385,3.6885245901639,25.502854572805,7.9880208333333,2.3205624273086,-11.607977893721,,102.26372130442,42.0,573302428.61903,4.0,0.0,2.0,0.0,-11.725955204216
600015.SH,华夏银行,-2.1400778210117,0.44657397238479,2467196561.0,478077674.0,0.029999999999999,0.41052631578947,18841398.19,0.02606851,24416000000.0,,5.0930208333333,-0.024231122845173,100.02133495885,96340000000.0,13.638678327069,0.36807541259649,0.4936243578946,,,-2.4920674477973,1.5867709488713,-4.5540796963947,26.74867538048,5.0930208333333,0.31380726089535,3.2886227590605,0.30958163362395,126.13113628304,49.0,42819007.435066,7.0,1.0,4.0,0.0,-4.7713717693837
600016.SH,民生银行,-5.8333333333333,0.13841207766662,3647865993.0,1030761092.0,0.03,0.19230769230769,50099149.74,0.02074486,32672000000.0,,3.4641666666667,-0.056516702559963,101.2235883968,146765000000.0,11.520535659627,0.45091315080295,0.41179725746143,,,-3.1409411518397,0.7462356150679,-7.3770491803279,26.516219087058,3.4641666666667,0.29473449843477,4.3169889974631,20.571052154717,118.18171016994,48.0,266228621.9258,5.0,1.0,5.0,1.0,-2.6548672566372
600018.SH,上港集团,2.7726432532347,0.99267274321101,3537263909.0,647589893.0,0.069999999999999,0.32420091324201,32175870.17,0.21590283,18488642394.15,187798657.64,5.5002083333333,0.022577526860721,99.805400347974,37286508667.53,32.147688029233,0.15741177335123,0.90519372523603,12.015281892976,14694568701.12,-0.047995435852545,0.79404429892792,-7.4875207986689,26.749064965225,5.5002083333333,1.1707608261049,8.8175597473895,0.11490166798439,99.735470668256,43.0,103489743.69967,8.0,1.0,3.0,0.0,-7.0143884892086
600019.SH,宝钢股份,-1.313320825516,0.70972729229417,6517868513.0,1206552031.0,0.11,0.18052256532067,66925452.83,0.92012578,11505564237.52,11746672926.99,5.3101041666667,-0.054602060869047,105.09977761253,369818087871.48,39.110606888065,0.71657899377578,1.1671874959068,4.1045922977107,30926749529.56,-0.081425053945529,0.51667646844438,-12.913907284768,27.342205146933,5.3101041666667,0.5984513048832,4.9564937900003,0.057353804789603,97.682419954041,49.0,-246919561.84893,7.0,1.0,2.0,0.0,-8.5551330798479
600023.SH,浙能电力,-9.9431818181818,1.1148612896027,2912855206.0,841796984.0,0.05,0.33333333333333,35214845.74,0.69129226,-2664770728.2,362433528.19,3.2632291666667,-0.11602142974755,,81545841389.43,22.202601627439,0.74150209333793,0.61996548858748,-2.8017136334697,-3862376419.95,0.059144060669652,-0.19873397270885,-8.3815028901734,26.649684455174,3.2632291666667,0.67109331853896,-49.701377593987,,117.06363510368,49.0,-379137.71165948,3.0,0.0,7.0,1.0,5.3627760252366
600025.SH,华能水电,-5.3645116918845,1.4329573201058,3974586363.0,541657867.0,0.09,0.35330261136713,32510016.68,0.13368579,6940101367.39,159720504.02,7.0663541666667,-0.098136227038577,100.45853429499,21468902238.33,37.743495680218,0.84675745415647,0.4955443993013,7.8013100077648,12281620034.2,0.0091131767866667,0.38556118707722,4.8780487804878,25.905269046387,7.0663541666667,2.2930079461889,21.21439775202,1.0226076440525,115.71488536714,47.0,59611881.505028,5.0,1.0,3.0,0.0,-7.4127906976744
