StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600000.SH,浦发银行,-3.943661971831,0.18846977125628,3419246098.0,491645930.0,0.06,0.090909090909091,26784761.69,0.02062904,38695000000.0,,6.923125,-0.06526460479121,100.16004518923,177757000000.0,13.450235663781,0.59970470296319,0.63355190284638,,,0.19259219226995,1.318300880928,-6.3186813186813,26.382368375864,6.923125,0.33197432027104,3.912017412611,-1.1318158238025,93.897698821001,47.0,-214031505.06693,4,0,6,1,0.4398826979472
600009.SH,上海机场,-1.7946687780417,0.8362989059906,5343529808.0,147241712.0,0.59,0.16550680786687,11772984.87,0.13466735,-395575081.75,,36.511875,-0.63977608078933,,9271829743.02,31.334303044044,0.70058202198185,1.0338739072464,-0.030601201090548,74293190.0,-0.87530396311913,-0.15896244644937,-17.531028368794,25.553033184201,36.511875,2.3088835239059,-30.917509312225,,75.011231437884,44.0,-169146699.27127,5,1,3,0,-3.5743079817253
600010.SH,包钢股份,-5.8139534883721,0.94072717170011,5231256337.0,3207918498.0,0.04,0.28571428571429,190158742.32,0.44817142,491012429.57,410451760.31,1.6351041666667,-0.038989016681808,165.289022818,67548953155.76,32.414654229655,1.7834521763284,1.3865237245105,1.3693028787348,7608952541.08,-0.1029938564709,0.010814074531537,-11.95652173913,27.628636787184,1.6351041666667,1.3880047132327,-100.76761981885,,90.795222197636,27.0,-1048760893.347,3,0,2,0,-5.5555555555556
600011.SH,华能国际,-3.3036848792884,1.1274468665712,6282489350.0,838715563.0,0.18,-0.041884816753925,58578764.84,0.50426258,9118797364.0,1811307742.0,7.5559375,-0.17174762058063,95.613750740261,254093717980.0,54.400754028541,1.4643695123565,1.1253841277892,4.7801172910739,27448219733.0,0.11797614357658,0.58088566270196,-24.578790882061,24.923655935658,7.5559375,2.0678423992603,-16.171728902279,-0.57691459504023,76.710984714582,37.0,-467645950.11204,4,0,7,1,1.3140604467805
600015.SH,华夏银行,-2.0979020979021,0.55365889940274,2712069509.0,479818476.0,0.07,0.36050156739812,25677662.66,0.02314206,25914000000.0,,5.6263541666667,-0.015124244910044,100.40038894926,91954000000.0,14.366123013362,0.50478646840405,0.65592261646018,,,0.68300652571931,1.6282825305879,-2.2687609075044,26.89394199486,5.6263541666667,0.33030271369782,3.5599600327861,0.55855772914414,115.7992805714,50.0,-98273087.07847,5,1,8,1,3.5714285714286
600016.SH,民生银行,-3.125,0.20453054053889,4549143442.0,1233024829.0,0.12,0.34259259259259,72320634.35,0.01912992,35068000000.0,,3.6817708333333,-0.042802647941851,100.93602474361,140184000000.0,15.974023847105,0.53199135500445,0.50119470580525,,,3.0353279820284,0.80096077831786,-4.8593350383632,25.952975264849,3.6817708333333,0.30957929688187,4.6179533535808,1.7879488091155,104.67156734144,45.0,-117824569.5914,4,0,8,1,3.494623655914
600018.SH,上港集团,-2.9126213592233,0.6021439384352,1401773920.0,281328353.0,0.079999999999999,0.13777777777778,14815962.14,0.19076285,13034255312.46,220037567.11,4.9817708333333,-0.054398202195401,102.70507530442,35477920373.11,25.867887458826,0.23111826503198,0.78132366215243,8.3348408434441,12694339425.01,0.13839820089376,0.55979102743123,-4.9429657794677,26.059048406353,4.9817708333333,0.96559356195791,6.7592484188322,0.39042026193512,103.76855992268,43.0,-33967620.58638,4,0,6,1,0.6
600019.SH,宝钢股份,2.7914614121511,1.2803498061746,10743579845.0,1754847056.0,0.08,0.41228070175439,69931851.75,0.88600262,11073507091.96,3467905169.85,6.1760416666667,0.0066593804512944,104.99805695379,345243119422.65,28.941666272142,1.0316618066836,1.2537784699512,3.8808239809112,19741835121.75,0.6755768399536,0.49741296797106,7.008547008547,25.609947580418,6.1760416666667,0.71065460209678,11.43538859892,-0.2361184958127,103.26659889005,39.0,159665873.8904,8,1,5,1,-0.63897763578275
600023.SH,浙能电力,7.2941176470588,1.5338933346892,4048498765.0,937586437.0,0.1,0.37243947858473,49479423.85,0.66386774,3681283084.05,461335178.64,4.3908333333333,0.019660062989045,97.934707058313,88816909373.57,27.911738397259,0.58411260860506,0.66258913243841,4.3322749752043,4740543048.27,0.29073237171505,0.27454369871937,-7.5050709939148,26.104621657747,4.3908333333333,0.90816913413593,-33.437787238111,,111.02298462244,47.0,-237564015.40529,9,1,7,1,1.7543859649123
600025.SH,华能水电,3.5040431266846,1.1989340392157,2771979839.0,366873816.0,0.18,0.5974025974026,17883102.95,0.11735467,7133368802.43,149038746.44,7.5564583333333,0.048976467137309,100.06648615723,20609552284.25,24.504991584622,0.55630052462319,0.64592628553496,6.7175629861415,11698792371.81,-0.064029629173889,0.39629826680167,5.2054794520548,26.540364583508,7.5564583333333,2.5831869149939,20.325658599564,1.231198791668,110.82792527342,51.0,20214035.928664,8,1,9,1,8.59375
